marital,divorce,widowed,agekdbrn,happy,hapmar,hapcohab,age,degree,income,relgion,life
Married,Yes,No ,27,Very Happy,Very Happy,NA,44,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,76,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,19,Pretyy Happy,Very Happy,NA,59,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,29,Pretyy Happy,Very Happy,NA,81,Graduate,Refused,Protestant,Exciting
Married,No ,No ,35,Pretyy Happy,Very Happy,NA,52,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,32,Pretyy Happy,Very Happy,NA,41,Bachelors,Refused,None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,59,High School,Refused,None,Dull
Married,No ,No ,30,Pretyy Happy,Very Happy,NA,66,Graduate,Refused,Jewish ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,Very Happy,29,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,31,Pretyy Happy,Very Happy,NA,68,Graduate,Refused,Jewish ,Exciting
Divorced,NA,No ,26,Not Too Happy,NA,Pretyy Happy,61,Bachelors,"$25,000 or more",Catholic ,Dull
Married,No ,No ,22,Pretyy Happy,Pretyy Happy,NA,72,High School,"$25,000 or more",None,Exciting
Married,No ,No ,23,Pretyy Happy,Very Happy,NA,77,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,33,Pretyy Happy,Very Happy,NA,69,Graduate,"$25,000 or more",None,Routine
Divorced,NA,No ,26,Pretyy Happy,NA,NA,79,Bachelors,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,33,Bachelors,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,62,Bachelors,Refused,Catholic ,Routine
Married,No ,No ,34,Very Happy,Very Happy,NA,37,Graduate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,24,Bachelors,"$25,000 or more",None,Dull
Never Married,NA,NA,NA,Not Too Happy,NA,NA,38,Bachelors,"$25,000 or more",Buddhism,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,31,Bachelors,"$25,000 or more",Catholic ,Routine
Married,No ,No ,33,Pretyy Happy,Very Happy,NA,53,Graduate,Refused,Catholic ,Exciting
Married,No ,No ,32,Very Happy,Very Happy,NA,44,Graduate,Refused,Hinduism,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,42,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,31,Very Happy,Very Happy,NA,40,Bachelors,"$25,000 or more",Muslim,Exciting
Married,No ,No ,27,Pretyy Happy,Pretyy Happy,NA,48,Graduate,Refused,None,Exciting
Married,No ,No ,29,Very Happy,Very Happy,NA,61,Bachelors,Refused,Catholic ,Exciting
Separated,NA,No ,18,Pretyy Happy,NA,NA,42,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,31,Pretyy Happy,Very Happy,NA,62,Graduate,Refused,Protestant,Exciting
Married,No ,No ,34,Very Happy,Very Happy,NA,39,High School,"$25,000 or more",None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,46,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,28,Very Happy,Very Happy,NA,42,Associate,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,30,Pretyy Happy,Pretyy Happy,NA,66,Graduate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,20,High School,"$25,000 or more",Christian,Routine
Married,No ,No ,33,Pretyy Happy,Pretyy Happy,NA,48,Associate,Refused,Protestant,Exciting
Divorced,NA,No ,32,Not Too Happy,NA,NA,65,High School,"$10,000 to $14,999",Christian,Exciting
Married,No ,No ,26,Pretyy Happy,Very Happy,NA,59,High School,Refused,Catholic ,Exciting
Never Married,NA,NA,15,Pretyy Happy,NA,Very Happy,34,Associate,"$25,000 or more",Catholic ,Routine
Widowed,No ,NA,28,Pretyy Happy,NA,NA,89,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Very Happy,NA,NA,21,High School,"$25,000 or more",None,Exciting
Married,Yes,No ,27,Pretyy Happy,Very Happy,NA,62,Bachelors,Refused,None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,25,Bachelors,"$25,000 or more",Jewish ,Routine
Married,No ,No ,39,Very Happy,Very Happy,NA,61,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,59,Graduate,"$25,000 or more",Orthodox-Christian,Exciting
Married,No ,No ,22,Pretyy Happy,Very Happy,NA,50,High School,"$25,000 or more",None,Routine
Married,No ,No ,28,Very Happy,Pretyy Happy,NA,58,High School,Refused,Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Very Happy,25,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,23,Pretyy Happy,Very Happy,NA,84,Graduate,"$25,000 or more",Other,Routine
Separated,NA,No ,28,Pretyy Happy,NA,NA,33,High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,76,Graduate,"$25,000 or more",Catholic ,Exciting
Never Married,NA,NA,22,Pretyy Happy,NA,NA,51,High School,"$20,000 to $24,999",Other,Routine
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,29,Bachelors,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,64,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,30,High School,"$20,000 to $24,999",None,Routine
Never Married,NA,NA,31,Pretyy Happy,NA,Pretyy Happy,34,Bachelors,"$25,000 or more",Orthodox-Christian,Routine
Divorced,NA,No ,22,Pretyy Happy,NA,NA,74,High School,"$20,000 to $24,999",Protestant,Routine
Married,No ,No ,26,Very Happy,Pretyy Happy,NA,28,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,61,High School,Refused,Protestant,Routine
Divorced,NA,Yes,16,Pretyy Happy,NA,Pretyy Happy,44,High School,"$25,000 or more",Inter-Nondenominational,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,63,Associate,"$25,000 or more",Inter-Nondenominational,Routine
Divorced,NA,No ,25,Pretyy Happy,NA,NA,48,Bachelors,"$25,000 or more",Inter-Nondenominational,Routine
Divorced,NA,No ,25,Pretyy Happy,NA,NA,72,High School,"$25,000 or more",Christian,Dull
Married,No ,No ,40,Pretyy Happy,Pretyy Happy,NA,43,High School,"$25,000 or more",None,Exciting
Divorced,NA,No ,24,Pretyy Happy,NA,NA,69,High School,"$1,000 to $2,999",Protestant,Exciting
Divorced,NA,No ,23,Pretyy Happy,NA,NA,79,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,35,Pretyy Happy,NA,NA,48,Bachelors,"$25,000 or more",Protestant,Routine
Widowed,Yes,NA,23,Not Too Happy,NA,NA,67,High School,"$25,000 or more",Protestant,Exciting
Widowed,Yes,NA,18,Pretyy Happy,NA,NA,62,High School,"$20,000 to $24,999",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,Pretyy Happy,35,<High School,"$25,000 or more",None,Routine
Divorced,NA,No ,22,Not Too Happy,NA,NA,50,Associate,"$25,000 or more",Protestant,Routine
Married,No ,No ,21,Pretyy Happy,Very Happy,NA,85,Associate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,22,Very Happy,NA,NA,62,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,NA,28,Graduate,"$15,000 to $19,999",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,30,Graduate,"$20,000 to $24,999",None,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,23,High School,"$5,000 to $5,999",Protestant,Routine
Divorced,NA,No ,25,Pretyy Happy,NA,NA,76,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,20,Not Too Happy,Pretyy Happy,NA,80,High School,"$25,000 or more",Protestant,Exciting
Married,No ,No ,30,Very Happy,Very Happy,NA,64,Graduate,Refused,Jewish ,Exciting
Married,No ,Yes,25,Very Happy,Very Happy,NA,49,Graduate,"$25,000 or more",None,Exciting
Married,No ,No ,NA,Not Too Happy,Very Happy,NA,48,Graduate,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,28,Graduate,"<$1,000",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,26,High School,"$3,000 to $3,999",None,Exciting
Never Married,NA,NA,22,Pretyy Happy,NA,NA,35,High School,"$25,000 or more",None,Exciting
Married,No ,No ,36,Pretyy Happy,Pretyy Happy,NA,52,Graduate,Refused,Catholic ,Routine
Married,No ,No ,25,Very Happy,Very Happy,NA,59,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,22,Pretyy Happy,NA,NA,37,Graduate,"$10,000 to $14,999",Protestant,Routine
Married,No ,No ,15,Pretyy Happy,Very Happy,NA,41,Bachelors,"$25,000 or more",Buddhism,Dull
Never Married,NA,NA,22,Not Too Happy,NA,NA,42,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,40,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,Yes,38,Pretyy Happy,Very Happy,NA,71,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,62,Graduate,Refused,Catholic ,Exciting
Married,Yes,No ,20,Very Happy,Very Happy,NA,44,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,32,Very Happy,Very Happy,NA,70,Graduate,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Very Happy,NA,NA,37,Bachelors,"$25,000 or more",None,Exciting
Divorced,NA,No ,39,Pretyy Happy,NA,NA,67,Graduate,"$25,000 or more",Catholic ,Exciting
Married,Yes,No ,19,Not Too Happy,Pretyy Happy,NA,43,Associate,"$25,000 or more",Protestant,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,Pretyy Happy,42,Bachelors,"$25,000 or more",Other,Exciting
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,29,Associate,"$25,000 or more",Protestant,Routine
Separated,NA,No ,18,Not Too Happy,NA,NA,75,High School,"$25,000 or more",Buddhism,Exciting
Divorced,NA,No ,17,Pretyy Happy,NA,NA,53,High School,"$25,000 or more",None,Routine
Married,No ,No ,22,Pretyy Happy,Very Happy,NA,27,High School,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,36,Associate,"$25,000 or more",Protestant,Routine
Widowed,Yes,NA,22,Not Too Happy,NA,NA,84,High School,"$20,000 to $24,999",Protestant,Exciting
Never Married,NA,NA,NA,Very Happy,NA,Very Happy,25,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,51,Associate,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,20,Not Too Happy,NA,Pretyy Happy,32,Bachelors,"$1,000 to $2,999",None,Routine
Married,No ,No ,21,Very Happy,Very Happy,NA,35,Associate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,17,Pretyy Happy,NA,NA,57,High School,"$15,000 to $19,999",Orthodox-Christian,Exciting
Married,No ,No ,21,Pretyy Happy,Pretyy Happy,NA,74,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,24,Pretyy Happy,Very Happy,NA,89,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,40,Pretyy Happy,Pretyy Happy,NA,67,Graduate,"$15,000 to $19,999",Protestant,Exciting
Married,Yes,No ,22,Pretyy Happy,Pretyy Happy,NA,74,High School,"$25,000 or more",Catholic ,Routine
Married,Yes,No ,24,Not Too Happy,Very Happy,NA,79,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,24,Pretyy Happy,Very Happy,NA,77,Graduate,Refused,Inter-Nondenominational,Exciting
Married,No ,No ,NA,Not Too Happy,Pretyy Happy,NA,66,High School,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Very Happy,NA,NA,24,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,No ,33,Pretyy Happy,Pretyy Happy,NA,44,Graduate,Refused,None,Exciting
Married,No ,No ,28,Very Happy,Very Happy,NA,36,Bachelors,"$25,000 or more",Orthodox-Christian,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,47,High School,"$25,000 or more",Protestant,Exciting
Married,No ,No ,20,Pretyy Happy,Pretyy Happy,NA,58,High School,"$20,000 to $24,999",Protestant,Routine
Divorced,NA,No ,17,Pretyy Happy,NA,NA,67,Graduate,"$25,000 or more",Buddhism,Routine
Separated,NA,No ,35,Not Too Happy,NA,NA,46,Bachelors,Refused,Protestant,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,19,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,28,Not Too Happy,Very Happy,NA,87,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,27,Pretyy Happy,NA,NA,78,High School,"$15,000 to $19,999",Protestant,Routine
Married,Yes,NA,24,Pretyy Happy,Very Happy,NA,88,Graduate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,21,Pretyy Happy,Very Happy,NA,61,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,61,Bachelors,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,NA,Not Too Happy,NA,Very Happy,22,Bachelors,"$25,000 or more",Orthodox-Christian,Dull
Married,Yes,Yes,23,Pretyy Happy,Not Too Happy,NA,87,Bachelors,"$25,000 or more",Protestant,Exciting
Never Married,NA,NA,34,Pretyy Happy,NA,Pretyy Happy,51,Bachelors,Refused,None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,26,High School,"$8,000 to $9,999",Christian,Exciting
Widowed,No ,NA,45,Pretyy Happy,NA,NA,79,Bachelors,"$25,000 or more",Protestant,Routine
Separated,NA,No ,21,Pretyy Happy,NA,NA,46,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,28,Pretyy Happy,Very Happy,NA,51,Bachelors,"$25,000 or more",Protestant,Routine
Married,No ,No ,24,Very Happy,Very Happy,NA,81,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,44,Bachelors,"$25,000 or more",None,Exciting
Married,Yes,No ,NA,Very Happy,Very Happy,NA,63,Bachelors,"$25,000 or more",Protestant,Exciting
Separated,NA,No ,20,Pretyy Happy,NA,NA,40,High School,"$25,000 or more",None,Routine
Married,Yes,No ,44,Pretyy Happy,Pretyy Happy,NA,65,High School,Refused,Protestant,Routine
Married,Yes,No ,29,Not Too Happy,Pretyy Happy,NA,72,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,35,Very Happy,Very Happy,NA,66,Associate,"$25,000 or more",Protestant,Routine
Married,No ,No ,26,Pretyy Happy,Pretyy Happy,NA,40,Graduate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,30,Very Happy,Very Happy,NA,32,Graduate,"$25,000 or more",Protestant,Routine
Married,No ,No ,17,Very Happy,Pretyy Happy,NA,73,<High School,"$20,000 to $24,999",Catholic ,Exciting
Married,No ,No ,35,Pretyy Happy,Pretyy Happy,NA,55,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,16,Pretyy Happy,Very Happy,NA,52,High School,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,28,Pretyy Happy,NA,NA,57,High School,"$8,000 to $9,999",Protestant,Routine
Married,No ,No ,22,Not Too Happy,Pretyy Happy,NA,68,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,31,Pretyy Happy,Pretyy Happy,NA,39,Graduate,"$25,000 or more",Protestant,Routine
Married,Yes,Yes,NA,Very Happy,Very Happy,NA,85,Associate,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,30,Pretyy Happy,NA,NA,80,Bachelors,"$10,000 to $14,999",None,Routine
Widowed,No ,NA,24,Not Too Happy,NA,NA,73,High School,"$25,000 or more",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,80,Graduate,"$25,000 or more",None,Routine
Married,No ,No ,33,Not Too Happy,Very Happy,NA,70,Graduate,Refused,None,Routine
Widowed,Yes,NA,30,Not Too Happy,NA,NA,60,Bachelors,Refused,Protestant,Exciting
Married,No ,No ,29,Very Happy,Very Happy,NA,72,Associate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,24,Very Happy,Very Happy,NA,68,Associate,"$10,000 to $14,999",None,Exciting
Separated,NA,Yes,26,Not Too Happy,NA,NA,40,High School,"$1,000 to $2,999",Catholic ,Routine
Never Married,NA,NA,23,Not Too Happy,NA,NA,32,Associate,"$15,000 to $19,999",Christian,Routine
Widowed,No ,NA,23,Not Too Happy,NA,NA,75,High School,"$7,000 to $7,999",Protestant,Exciting
Divorced,NA,No ,35,Very Happy,NA,NA,58,Bachelors,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,29,Not Too Happy,NA,NA,54,High School,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,30,Very Happy,Very Happy,NA,53,Bachelors,Refused,Catholic ,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,23,Associate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,23,Pretyy Happy,Pretyy Happy,NA,33,High School,"$15,000 to $19,999",Catholic ,Routine
Married,Yes,No ,24,Pretyy Happy,Pretyy Happy,NA,58,Associate,"$25,000 or more",Catholic ,Exciting
Married,No ,No ,30,Pretyy Happy,Very Happy,NA,69,Bachelors,Refused,Jewish ,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,47,Bachelors,"$25,000 or more",Christian,Routine
Divorced,NA,No ,NA,Very Happy,NA,NA,42,Bachelors,"$20,000 to $24,999",Protestant,Exciting
Married,No ,No ,31,Pretyy Happy,Not Too Happy,NA,59,High School,Refused,None,Exciting
Never Married,NA,NA,NA,Very Happy,NA,NA,39,Bachelors,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,50,Associate,"$20,000 to $24,999",None,Routine
Divorced,NA,No ,30,Pretyy Happy,NA,NA,67,High School,"<$1,000",None,Exciting
Married,No ,Yes,NA,Pretyy Happy,Pretyy Happy,NA,84,High School,"$25,000 or more",None,Routine
Married,No ,No ,33,Pretyy Happy,Very Happy,NA,43,High School,"$25,000 or more",None,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,52,Bachelors,"$25,000 or more",Orthodox-Christian,Exciting
Married,No ,No ,21,Pretyy Happy,Very Happy,NA,51,Graduate,Refused,Catholic ,Routine
Never Married,NA,NA,15,Not Too Happy,NA,NA,57,Graduate,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,NA,Pretyy Happy,NA,Pretyy Happy,51,Graduate,"$25,000 or more",None,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,50,Bachelors,"$25,000 or more",None,Routine
Married,Yes,No ,NA,Pretyy Happy,Pretyy Happy,NA,55,Bachelors,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,NA,Not Too Happy,NA,NA,70,High School,"$25,000 or more",None,Exciting
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,64,High School,"$10,000 to $14,999",Catholic ,Exciting
Married,Yes,No ,18,Very Happy,Very Happy,NA,67,High School,"$25,000 or more",Catholic ,Routine
Married,No ,No ,28,Very Happy,Very Happy,NA,41,High School,"$25,000 or more",Protestant,Exciting
Widowed,No ,NA,26,Pretyy Happy,NA,NA,80,High School,"$25,000 or more",Catholic ,Exciting
Widowed,No ,NA,20,Pretyy Happy,NA,NA,84,High School,"$25,000 or more",None,Exciting
Married,No ,No ,27,Pretyy Happy,Very Happy,NA,65,Bachelors,"$25,000 or more",Catholic ,Exciting
Widowed,Yes,NA,23,Not Too Happy,NA,NA,87,High School,"$25,000 or more",Protestant,Dull
Divorced,NA,No ,21,Pretyy Happy,NA,NA,55,High School,"$20,000 to $24,999",Catholic ,Exciting
Married,Yes,No ,NA,Pretyy Happy,Very Happy,NA,58,Graduate,"$25,000 or more",Other,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,66,Bachelors,"$25,000 or more",None,Routine
Divorced,NA,No ,NA,Not Too Happy,NA,NA,33,Associate,"$25,000 or more",None,Exciting
Married,No ,No ,27,Very Happy,Very Happy,NA,55,Associate,"$25,000 or more",Catholic ,Exciting
Separated,NA,No ,19,Pretyy Happy,NA,NA,69,Graduate,"$25,000 or more",Jewish ,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,75,Graduate,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,22,Not Too Happy,NA,NA,82,<High School,"$25,000 or more",Catholic ,Exciting
Widowed,No ,NA,20,Not Too Happy,NA,NA,72,High School,"$1,000 to $2,999",Protestant,Routine
Never Married,NA,NA,28,Pretyy Happy,NA,Very Happy,31,High School,"$25,000 or more",None,Routine
Married,No ,No ,24,Pretyy Happy,Very Happy,NA,67,Graduate,"$25,000 or more",Catholic ,Routine
Married,No ,No ,23,Very Happy,Very Happy,NA,79,Associate,Refused,Protestant,Routine
Married,No ,No ,NA,Very Happy,Very Happy,NA,70,Bachelors,Refused,Orthodox-Christian,Exciting
Widowed,No ,NA,NA,Very Happy,NA,NA,77,High School,"$25,000 or more",Catholic ,Routine
Divorced,NA,No ,22,Not Too Happy,NA,NA,52,High School,"$15,000 to $19,999",Catholic ,Routine
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,21,<High School,"$25,000 or more",Christian,Routine
Widowed,Yes,NA,19,Not Too Happy,NA,NA,79,High School,"$25,000 or more",Protestant,Dull
Divorced,NA,No ,23,Not Too Happy,NA,NA,81,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,24,Pretyy Happy,NA,Pretyy Happy,27,<High School,"$10,000 to $14,999",Catholic ,Routine
Married,Yes,No ,29,Pretyy Happy,Very Happy,NA,52,Graduate,"$25,000 or more",Protestant,Exciting
Married,No ,No ,25,Very Happy,Very Happy,NA,34,Bachelors,"$25,000 or more",None,Routine
Married,No ,No ,22,Pretyy Happy,Pretyy Happy,NA,75,High School,"$7,000 to $7,999",Catholic ,Routine
Married,No ,No ,NA,Pretyy Happy,Very Happy,NA,45,Bachelors,"$25,000 or more",Christian,Dull
Never Married,NA,NA,NA,Pretyy Happy,NA,NA,49,Associate,"$25,000 or more",Protestant,Routine
Married,Yes,No ,30,Very Happy,Very Happy,NA,40,High School,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,NA,Pretyy Happy,Pretyy Happy,NA,46,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,30,Very Happy,Very Happy,NA,53,Bachelors,Refused,Protestant,Exciting
Married,No ,No ,22,Not Too Happy,Not Too Happy,NA,57,High School,"$10,000 to $14,999",Protestant,Routine
Never Married,NA,NA,18,Pretyy Happy,NA,Pretyy Happy,43,<High School,"$25,000 or more",None,Routine
Married,Yes,No ,27,Pretyy Happy,Very Happy,NA,53,Bachelors,"$25,000 or more",Protestant,Routine
Never Married,NA,NA,NA,Not Too Happy,NA,NA,57,<High School,"$25,000 or more",None,Routine
Divorced,NA,No ,28,Pretyy Happy,NA,NA,38,Associate,"$8,000 to $9,999",Protestant,Exciting
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,67,High School,"$25,000 or more",Protestant,Routine
Widowed,Yes,NA,17,Pretyy Happy,NA,NA,71,High School,"$25,000 or more",Catholic ,Exciting
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,25,Bachelors,"$1,000 to $2,999",Catholic ,Routine
Divorced,NA,No ,NA,Very Happy,NA,NA,51,Bachelors,"$25,000 or more",Jewish ,Exciting
Divorced,NA,No ,28,Not Too Happy,NA,NA,68,High School,"$5,000 to $5,999",None,Routine
Divorced,NA,No ,19,Pretyy Happy,NA,NA,64,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,30,Very Happy,Very Happy,NA,60,High School,"$20,000 to $24,999",Protestant,Routine
Married,Yes,Yes,23,Pretyy Happy,Very Happy,NA,73,High School,"$20,000 to $24,999",Protestant,Routine
Married,Yes,No ,23,Not Too Happy,Very Happy,NA,60,High School,"$20,000 to $24,999",Protestant,Exciting
Divorced,NA,No ,NA,Pretyy Happy,NA,NA,29,Bachelors,"$25,000 or more",Protestant,Exciting
Married,No ,Yes,25,Pretyy Happy,Pretyy Happy,NA,51,Bachelors,Refused,Catholic ,Exciting
Married,Yes,No ,31,Very Happy,Very Happy,NA,54,Bachelors,Refused,Protestant,Exciting
Married,No ,No ,17,Pretyy Happy,Very Happy,NA,35,High School,"$25,000 or more",Protestant,Exciting
Married,No ,No ,34,Very Happy,Pretyy Happy,NA,37,Graduate,Refused,Hinduism,Exciting
Divorced,NA,No ,24,Pretyy Happy,NA,NA,50,Graduate,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,18,Pretyy Happy,NA,Very Happy,36,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,32,Pretyy Happy,Pretyy Happy,NA,69,Bachelors,Refused,Protestant,Routine
Divorced,NA,No ,24,Pretyy Happy,NA,Very Happy,49,High School,"$25,000 or more",Protestant,Routine
Widowed,Yes,NA,17,Pretyy Happy,NA,NA,67,High School,"$10,000 to $14,999",Protestant,Routine
Never Married,NA,NA,32,Very Happy,NA,NA,62,Bachelors,"$25,000 or more",Protestant,Exciting
Married,Yes,No ,39,Very Happy,Very Happy,NA,62,Graduate,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,24,Pretyy Happy,NA,NA,70,Bachelors,"$25,000 or more",Protestant,Routine
Widowed,No ,NA,17,Not Too Happy,NA,NA,31,High School,"$6,000 to $6,999",Protestant,Dull
Never Married,NA,NA,22,Not Too Happy,NA,NA,41,High School,"$1,000 to $2,999",Protestant,Routine
Married,No ,No ,27,Very Happy,Very Happy,NA,76,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,30,Pretyy Happy,Pretyy Happy,NA,41,Bachelors,"$25,000 or more",Protestant,Routine
Married,Yes,No ,22,Pretyy Happy,Pretyy Happy,NA,68,High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,20,Pretyy Happy,Pretyy Happy,NA,71,High School,"$25,000 or more",Protestant,Routine
Married,Yes,No ,24,Not Too Happy,Very Happy,NA,47,High School,"$25,000 or more",Protestant,Exciting
Divorced,NA,No ,20,Pretyy Happy,NA,NA,36,High School,"$20,000 to $24,999",Protestant,Routine
Married,No ,No ,20,Very Happy,Very Happy,NA,69,<High School,"$25,000 or more",Protestant,Routine
Married,No ,No ,17,Pretyy Happy,Very Happy,NA,39,High School,"$25,000 or more",None,Routine
Widowed,No ,NA,NA,Very Happy,NA,NA,75,Bachelors,"$25,000 or more",Catholic ,Exciting
Married,Yes,No ,23,Very Happy,Pretyy Happy,NA,35,High School,"$15,000 to $19,999",None,Routine
Divorced,NA,No ,20,Pretyy Happy,NA,Very Happy,45,High School,"$25,000 or more",None,Routine
Widowed,Yes,NA,20,Very Happy,NA,NA,53,Bachelors,Refused,Protestant,Exciting
Married,Yes,No ,19,Pretyy Happy,Pretyy Happy,NA,37,High School,"$10,000 to $14,999",Protestant,Routine
Never Married,NA,NA,32,Pretyy Happy,NA,Pretyy Happy,41,Bachelors,"$25,000 or more",None,Routine
Widowed,Yes,NA,25,Pretyy Happy,NA,NA,67,Bachelors,"$25,000 or more",Protestant,Routine
Divorced,NA,No ,27,Not Too Happy,NA,NA,51,Graduate,"$25,000 or more",Protestant,Routine
