"","marital","divorce","widowed","agekdbrn","happy","hapmar","hapcohab","age","degree","income","relgion","life"
"554","Married","No ","No ",31,"Pretyy Happy","Very Happy",NA,68,"Graduate","Refused","Jewish ","Exciting"
"555","Divorced",NA,"No ",26,"Not Too Happy",NA,"Pretyy Happy",61,"Bachelors","$25,000 or more","Catholic ","Dull"
"556","Married","No ","No ",22,"Pretyy Happy","Pretyy Happy",NA,72,"High School","$25,000 or more","None","Exciting"
"557","Married","No ","No ",23,"Pretyy Happy","Very Happy",NA,77,"Bachelors","$25,000 or more","Protestant","Routine"
"558","Married","No ","No ",33,"Pretyy Happy","Very Happy",NA,69,"Graduate","$25,000 or more","None","Routine"
"559","Divorced",NA,"No ",26,"Pretyy Happy",NA,NA,79,"Bachelors","$25,000 or more","Protestant","Exciting"
"560","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,33,"Bachelors","$25,000 or more","Protestant","Exciting"
"561","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,62,"Bachelors","Refused","Catholic ","Routine"
"562","Married","No ","No ",34,"Very Happy","Very Happy",NA,37,"Graduate","$25,000 or more","Protestant","Routine"
"563","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,24,"Bachelors","$25,000 or more","None","Dull"
"564","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,38,"Bachelors","$25,000 or more","Buddhism","Exciting"
"565","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,31,"Bachelors","$25,000 or more","Catholic ","Routine"
"566","Married","No ","No ",33,"Pretyy Happy","Very Happy",NA,53,"Graduate","Refused","Catholic ","Exciting"
"567","Married","No ","No ",32,"Very Happy","Very Happy",NA,44,"Graduate","Refused","Hinduism","Exciting"
"568","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,42,"Graduate","$25,000 or more","None","Routine"
"569","Married","No ","No ",31,"Very Happy","Very Happy",NA,40,"Bachelors","$25,000 or more","Muslim","Exciting"
"570","Married","No ","No ",27,"Pretyy Happy","Pretyy Happy",NA,48,"Graduate","Refused","None","Exciting"
"571","Married","No ","No ",29,"Very Happy","Very Happy",NA,61,"Bachelors","Refused","Catholic ","Exciting"
"572","Separated",NA,"No ",18,"Pretyy Happy",NA,NA,42,"Bachelors","$25,000 or more","None","Routine"
"573","Married","No ","No ",31,"Pretyy Happy","Very Happy",NA,62,"Graduate","Refused","Protestant","Exciting"
"574","Married","No ","No ",34,"Very Happy","Very Happy",NA,39,"High School","$25,000 or more","None","Exciting"
"575","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,46,"Graduate","$25,000 or more","Protestant","Exciting"
"576","Married","No ","No ",28,"Very Happy","Very Happy",NA,42,"Associate","$25,000 or more","Catholic ","Routine"
"577","Married","Yes","No ",30,"Pretyy Happy","Pretyy Happy",NA,66,"Graduate","$25,000 or more","Protestant","Routine"
"578","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,20,"High School","$25,000 or more","Christian","Routine"
"579","Married","No ","No ",33,"Pretyy Happy","Pretyy Happy",NA,48,"Associate","Refused","Protestant","Exciting"
"580","Divorced",NA,"No ",32,"Not Too Happy",NA,NA,65,"High School","$10,000 to $14,999","Christian","Exciting"
"581","Married","No ","No ",26,"Pretyy Happy","Very Happy",NA,59,"High School","Refused","Catholic ","Exciting"
"582","Never Married",NA,NA,15,"Pretyy Happy",NA,"Very Happy",34,"Associate","$25,000 or more","Catholic ","Routine"
"583","Widowed","No ",NA,28,"Pretyy Happy",NA,NA,89,"High School","$25,000 or more","Protestant","Routine"
"584","Never Married",NA,NA,NA,"Very Happy",NA,NA,21,"High School","$25,000 or more","None","Exciting"
"585","Married","Yes","No ",27,"Pretyy Happy","Very Happy",NA,62,"Bachelors","Refused","None","Exciting"
"586","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",25,"Bachelors","$25,000 or more","Jewish ","Routine"
"587","Married","No ","No ",39,"Very Happy","Very Happy",NA,61,"Graduate","$25,000 or more","Protestant","Exciting"
"588","Married","No ","No ",28,"Pretyy Happy","Very Happy",NA,59,"Graduate","$25,000 or more","Orthodox-Christian","Exciting"
"589","Married","No ","No ",22,"Pretyy Happy","Very Happy",NA,50,"High School","$25,000 or more","None","Routine"
"590","Married","No ","No ",28,"Very Happy","Pretyy Happy",NA,58,"High School","Refused","Protestant","Exciting"
"591","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Very Happy",25,"Graduate","$25,000 or more","None","Routine"
"592","Married","No ","No ",23,"Pretyy Happy","Very Happy",NA,84,"Graduate","$25,000 or more","Other","Routine"
"593","Separated",NA,"No ",28,"Pretyy Happy",NA,NA,33,"High School","$25,000 or more","Protestant","Exciting"
"594","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,76,"Graduate","$25,000 or more","Catholic ","Exciting"
"595","Never Married",NA,NA,22,"Pretyy Happy",NA,NA,51,"High School","$20,000 to $24,999","Other","Routine"
"596","Married","No ","No ",28,"Pretyy Happy","Very Happy",NA,29,"Bachelors","$25,000 or more","Catholic ","Routine"
"597","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,64,"Bachelors","$25,000 or more","Protestant","Routine"
"598","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,30,"High School","$20,000 to $24,999","None","Routine"
"599","Never Married",NA,NA,31,"Pretyy Happy",NA,"Pretyy Happy",34,"Bachelors","$25,000 or more","Orthodox-Christian","Routine"
"600","Divorced",NA,"No ",22,"Pretyy Happy",NA,NA,74,"High School","$20,000 to $24,999","Protestant","Routine"
"601","Married","No ","No ",26,"Very Happy","Pretyy Happy",NA,28,"Graduate","$25,000 or more","Protestant","Routine"
"602","Married","No ","No ",28,"Pretyy Happy","Very Happy",NA,61,"High School","Refused","Protestant","Routine"
"603","Divorced",NA,"Yes",16,"Pretyy Happy",NA,"Pretyy Happy",44,"High School","$25,000 or more","Inter-Nondenominational","Routine"
"604","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,63,"Associate","$25,000 or more","Inter-Nondenominational","Routine"
"605","Divorced",NA,"No ",25,"Pretyy Happy",NA,NA,48,"Bachelors","$25,000 or more","Inter-Nondenominational","Routine"
"606","Divorced",NA,"No ",25,"Pretyy Happy",NA,NA,72,"High School","$25,000 or more","Christian","Dull"
"607","Married","No ","No ",40,"Pretyy Happy","Pretyy Happy",NA,43,"High School","$25,000 or more","None","Exciting"
"608","Divorced",NA,"No ",24,"Pretyy Happy",NA,NA,69,"High School","$1,000 to $2,999","Protestant","Exciting"
"609","Divorced",NA,"No ",23,"Pretyy Happy",NA,NA,79,"High School","$25,000 or more","Protestant","Routine"
"610","Divorced",NA,"No ",35,"Pretyy Happy",NA,NA,48,"Bachelors","$25,000 or more","Protestant","Routine"
"611","Widowed","Yes",NA,23,"Not Too Happy",NA,NA,67,"High School","$25,000 or more","Protestant","Exciting"
"612","Widowed","Yes",NA,18,"Pretyy Happy",NA,NA,62,"High School","$20,000 to $24,999","Protestant","Exciting"
"613","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Pretyy Happy",35,"<High School","$25,000 or more","None","Routine"
"614","Divorced",NA,"No ",22,"Not Too Happy",NA,NA,50,"Associate","$25,000 or more","Protestant","Routine"
"615","Married","No ","No ",21,"Pretyy Happy","Very Happy",NA,85,"Associate","$25,000 or more","Protestant","Routine"
"616","Divorced",NA,"No ",22,"Very Happy",NA,NA,62,"High School","$25,000 or more","Protestant","Exciting"
"617","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,28,"Graduate","$15,000 to $19,999","None","Routine"
"618","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,30,"Graduate","$20,000 to $24,999","None","Routine"
"619","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,23,"High School","$5,000 to $5,999","Protestant","Routine"
"620","Divorced",NA,"No ",25,"Pretyy Happy",NA,NA,76,"Bachelors","$25,000 or more","Protestant","Routine"
"621","Married","Yes","No ",20,"Not Too Happy","Pretyy Happy",NA,80,"High School","$25,000 or more","Protestant","Exciting"
"622","Married","No ","No ",30,"Very Happy","Very Happy",NA,64,"Graduate","Refused","Jewish ","Exciting"
"623","Married","No ","Yes",25,"Very Happy","Very Happy",NA,49,"Graduate","$25,000 or more","None","Exciting"
"624","Married","No ","No ",NA,"Not Too Happy","Very Happy",NA,48,"Graduate","$25,000 or more","None","Routine"
"625","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,28,"Graduate","<$1,000","None","Routine"
"626","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,26,"High School","$3,000 to $3,999","None","Exciting"
"627","Never Married",NA,NA,22,"Pretyy Happy",NA,NA,35,"High School","$25,000 or more","None","Exciting"
"628","Married","No ","No ",36,"Pretyy Happy","Pretyy Happy",NA,52,"Graduate","Refused","Catholic ","Routine"
"629","Married","No ","No ",25,"Very Happy","Very Happy",NA,59,"High School","$25,000 or more","Protestant","Exciting"
"630","Never Married",NA,NA,22,"Pretyy Happy",NA,NA,37,"Graduate","$10,000 to $14,999","Protestant","Routine"
"631","Married","No ","No ",15,"Pretyy Happy","Very Happy",NA,41,"Bachelors","$25,000 or more","Buddhism","Dull"
"632","Never Married",NA,NA,22,"Not Too Happy",NA,NA,42,"Graduate","$25,000 or more","None","Routine"
"633","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,40,"Graduate","$25,000 or more","Protestant","Exciting"
"634","Married","No ","Yes",38,"Pretyy Happy","Very Happy",NA,71,"Graduate","$25,000 or more","Protestant","Routine"
"635","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,62,"Graduate","Refused","Catholic ","Exciting"
"636","Married","Yes","No ",20,"Very Happy","Very Happy",NA,44,"High School","$25,000 or more","Protestant","Routine"
"637","Married","Yes","No ",32,"Very Happy","Very Happy",NA,70,"Graduate","$25,000 or more","Protestant","Exciting"
"638","Never Married",NA,NA,NA,"Very Happy",NA,NA,37,"Bachelors","$25,000 or more","None","Exciting"
"639","Divorced",NA,"No ",39,"Pretyy Happy",NA,NA,67,"Graduate","$25,000 or more","Catholic ","Exciting"
"640","Married","Yes","No ",19,"Not Too Happy","Pretyy Happy",NA,43,"Associate","$25,000 or more","Protestant","Dull"
"641","Never Married",NA,NA,NA,"Pretyy Happy",NA,"Pretyy Happy",42,"Bachelors","$25,000 or more","Other","Exciting"
"642","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,29,"Associate","$25,000 or more","Protestant","Routine"
"643","Separated",NA,"No ",18,"Not Too Happy",NA,NA,75,"High School","$25,000 or more","Buddhism","Exciting"
"644","Divorced",NA,"No ",17,"Pretyy Happy",NA,NA,53,"High School","$25,000 or more","None","Routine"
"645","Married","No ","No ",22,"Pretyy Happy","Very Happy",NA,27,"High School","$25,000 or more","Protestant","Exciting"
"646","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,36,"Associate","$25,000 or more","Protestant","Routine"
"647","Widowed","Yes",NA,22,"Not Too Happy",NA,NA,84,"High School","$20,000 to $24,999","Protestant","Exciting"
"648","Never Married",NA,NA,NA,"Very Happy",NA,"Very Happy",25,"Graduate","$25,000 or more","Protestant","Routine"
"649","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,51,"Associate","$25,000 or more","Protestant","Routine"
"650","Never Married",NA,NA,20,"Not Too Happy",NA,"Pretyy Happy",32,"Bachelors","$1,000 to $2,999","None","Routine"
"651","Married","No ","No ",21,"Very Happy","Very Happy",NA,35,"Associate","$25,000 or more","Protestant","Routine"
"652","Divorced",NA,"No ",17,"Pretyy Happy",NA,NA,57,"High School","$15,000 to $19,999","Orthodox-Christian","Exciting"
"653","Married","No ","No ",21,"Pretyy Happy","Pretyy Happy",NA,74,"Bachelors","$25,000 or more","Protestant","Routine"
"654","Married","No ","No ",24,"Pretyy Happy","Very Happy",NA,89,"High School","$25,000 or more","Protestant","Routine"
"655","Married","No ","No ",40,"Pretyy Happy","Pretyy Happy",NA,67,"Graduate","$15,000 to $19,999","Protestant","Exciting"
"656","Married","Yes","No ",22,"Pretyy Happy","Pretyy Happy",NA,74,"High School","$25,000 or more","Catholic ","Routine"
"657","Married","Yes","No ",24,"Not Too Happy","Very Happy",NA,79,"Graduate","$25,000 or more","Protestant","Exciting"
"658","Married","No ","No ",24,"Pretyy Happy","Very Happy",NA,77,"Graduate","Refused","Inter-Nondenominational","Exciting"
"659","Married","No ","No ",NA,"Not Too Happy","Pretyy Happy",NA,66,"High School","$25,000 or more","Protestant","Routine"
"660","Never Married",NA,NA,NA,"Very Happy",NA,NA,24,"Bachelors","$25,000 or more","Protestant","Exciting"
"661","Married","No ","No ",33,"Pretyy Happy","Pretyy Happy",NA,44,"Graduate","Refused","None","Exciting"
"662","Married","No ","No ",28,"Very Happy","Very Happy",NA,36,"Bachelors","$25,000 or more","Orthodox-Christian","Exciting"
"663","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,47,"High School","$25,000 or more","Protestant","Exciting"
"664","Married","No ","No ",20,"Pretyy Happy","Pretyy Happy",NA,58,"High School","$20,000 to $24,999","Protestant","Routine"
"665","Divorced",NA,"No ",17,"Pretyy Happy",NA,NA,67,"Graduate","$25,000 or more","Buddhism","Routine"
"666","Separated",NA,"No ",35,"Not Too Happy",NA,NA,46,"Bachelors","Refused","Protestant","Exciting"
"667","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,19,"High School","$25,000 or more","Protestant","Routine"
"668","Married","Yes","No ",28,"Not Too Happy","Very Happy",NA,87,"Graduate","$25,000 or more","Protestant","Routine"
"669","Divorced",NA,"No ",27,"Pretyy Happy",NA,NA,78,"High School","$15,000 to $19,999","Protestant","Routine"
"670","Married","Yes",NA,24,"Pretyy Happy","Very Happy",NA,88,"Graduate","$25,000 or more","Protestant","Routine"
"671","Married","Yes","No ",21,"Pretyy Happy","Very Happy",NA,61,"High School","$25,000 or more","Protestant","Routine"
"672","Married","No ","No ",NA,"Very Happy","Very Happy",NA,61,"Bachelors","$25,000 or more","Protestant","Exciting"
"673","Never Married",NA,NA,NA,"Not Too Happy",NA,"Very Happy",22,"Bachelors","$25,000 or more","Orthodox-Christian","Dull"
"674","Married","Yes","Yes",23,"Pretyy Happy","Not Too Happy",NA,87,"Bachelors","$25,000 or more","Protestant","Exciting"
"675","Never Married",NA,NA,34,"Pretyy Happy",NA,"Pretyy Happy",51,"Bachelors","Refused","None","Routine"
"676","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,26,"High School","$8,000 to $9,999","Christian","Exciting"
"677","Widowed","No ",NA,45,"Pretyy Happy",NA,NA,79,"Bachelors","$25,000 or more","Protestant","Routine"
"678","Separated",NA,"No ",21,"Pretyy Happy",NA,NA,46,"Bachelors","$25,000 or more","Protestant","Routine"
"679","Married","No ","No ",28,"Pretyy Happy","Very Happy",NA,51,"Bachelors","$25,000 or more","Protestant","Routine"
"680","Married","No ","No ",24,"Very Happy","Very Happy",NA,81,"Graduate","$25,000 or more","Protestant","Routine"
"681","Married","No ","No ",NA,"Very Happy","Very Happy",NA,44,"Bachelors","$25,000 or more","None","Exciting"
"682","Married","Yes","No ",NA,"Very Happy","Very Happy",NA,63,"Bachelors","$25,000 or more","Protestant","Exciting"
"683","Separated",NA,"No ",20,"Pretyy Happy",NA,NA,40,"High School","$25,000 or more","None","Routine"
"684","Married","Yes","No ",44,"Pretyy Happy","Pretyy Happy",NA,65,"High School","Refused","Protestant","Routine"
"685","Married","Yes","No ",29,"Not Too Happy","Pretyy Happy",NA,72,"High School","$25,000 or more","Protestant","Routine"
"686","Married","No ","No ",35,"Very Happy","Very Happy",NA,66,"Associate","$25,000 or more","Protestant","Routine"
"687","Married","No ","No ",26,"Pretyy Happy","Pretyy Happy",NA,40,"Graduate","$25,000 or more","Protestant","Routine"
"688","Married","Yes","No ",30,"Very Happy","Very Happy",NA,32,"Graduate","$25,000 or more","Protestant","Routine"
"689","Married","No ","No ",17,"Very Happy","Pretyy Happy",NA,73,"<High School","$20,000 to $24,999","Catholic ","Exciting"
"690","Married","No ","No ",35,"Pretyy Happy","Pretyy Happy",NA,55,"Bachelors","$25,000 or more","Protestant","Routine"
"691","Married","Yes","No ",16,"Pretyy Happy","Very Happy",NA,52,"High School","$25,000 or more","Protestant","Routine"
"692","Divorced",NA,"No ",28,"Pretyy Happy",NA,NA,57,"High School","$8,000 to $9,999","Protestant","Routine"
"693","Married","No ","No ",22,"Not Too Happy","Pretyy Happy",NA,68,"High School","$25,000 or more","Protestant","Routine"
"694","Married","No ","No ",31,"Pretyy Happy","Pretyy Happy",NA,39,"Graduate","$25,000 or more","Protestant","Routine"
"695","Married","Yes","Yes",NA,"Very Happy","Very Happy",NA,85,"Associate","$25,000 or more","Protestant","Exciting"
"696","Divorced",NA,"No ",30,"Pretyy Happy",NA,NA,80,"Bachelors","$10,000 to $14,999","None","Routine"
"697","Widowed","No ",NA,24,"Not Too Happy",NA,NA,73,"High School","$25,000 or more","Catholic ","Routine"
"698","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,80,"Graduate","$25,000 or more","None","Routine"
"699","Married","No ","No ",33,"Not Too Happy","Very Happy",NA,70,"Graduate","Refused","None","Routine"
"700","Widowed","Yes",NA,30,"Not Too Happy",NA,NA,60,"Bachelors","Refused","Protestant","Exciting"
"701","Married","No ","No ",29,"Very Happy","Very Happy",NA,72,"Associate","$25,000 or more","Protestant","Routine"
"702","Married","Yes","No ",24,"Very Happy","Very Happy",NA,68,"Associate","$10,000 to $14,999","None","Exciting"
"703","Separated",NA,"Yes",26,"Not Too Happy",NA,NA,40,"High School","$1,000 to $2,999","Catholic ","Routine"
"704","Never Married",NA,NA,23,"Not Too Happy",NA,NA,32,"Associate","$15,000 to $19,999","Christian","Routine"
"705","Widowed","No ",NA,23,"Not Too Happy",NA,NA,75,"High School","$7,000 to $7,999","Protestant","Exciting"
"706","Divorced",NA,"No ",35,"Very Happy",NA,NA,58,"Bachelors","$25,000 or more","Protestant","Exciting"
"707","Divorced",NA,"No ",29,"Not Too Happy",NA,NA,54,"High School","$25,000 or more","Catholic ","Exciting"
"708","Married","No ","No ",30,"Very Happy","Very Happy",NA,53,"Bachelors","Refused","Catholic ","Exciting"
"709","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,23,"Associate","$25,000 or more","Protestant","Exciting"
"710","Married","No ","No ",23,"Pretyy Happy","Pretyy Happy",NA,33,"High School","$15,000 to $19,999","Catholic ","Routine"
"711","Married","Yes","No ",24,"Pretyy Happy","Pretyy Happy",NA,58,"Associate","$25,000 or more","Catholic ","Exciting"
"712","Married","No ","No ",30,"Pretyy Happy","Very Happy",NA,69,"Bachelors","Refused","Jewish ","Routine"
"713","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,47,"Bachelors","$25,000 or more","Christian","Routine"
"714","Divorced",NA,"No ",NA,"Very Happy",NA,NA,42,"Bachelors","$20,000 to $24,999","Protestant","Exciting"
"715","Married","No ","No ",31,"Pretyy Happy","Not Too Happy",NA,59,"High School","Refused","None","Exciting"
"716","Never Married",NA,NA,NA,"Very Happy",NA,NA,39,"Bachelors","$25,000 or more","Catholic ","Exciting"
"717","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,50,"Associate","$20,000 to $24,999","None","Routine"
"718","Divorced",NA,"No ",30,"Pretyy Happy",NA,NA,67,"High School","<$1,000","None","Exciting"
"719","Married","No ","Yes",NA,"Pretyy Happy","Pretyy Happy",NA,84,"High School","$25,000 or more","None","Routine"
"720","Married","No ","No ",33,"Pretyy Happy","Very Happy",NA,43,"High School","$25,000 or more","None","Routine"
"721","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,52,"Bachelors","$25,000 or more","Orthodox-Christian","Exciting"
"722","Married","No ","No ",21,"Pretyy Happy","Very Happy",NA,51,"Graduate","Refused","Catholic ","Routine"
"723","Never Married",NA,NA,15,"Not Too Happy",NA,NA,57,"Graduate","$25,000 or more","Protestant","Exciting"
"724","Divorced",NA,"No ",NA,"Pretyy Happy",NA,"Pretyy Happy",51,"Graduate","$25,000 or more","None","Routine"
"725","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,50,"Bachelors","$25,000 or more","None","Routine"
"726","Married","Yes","No ",NA,"Pretyy Happy","Pretyy Happy",NA,55,"Bachelors","$25,000 or more","Catholic ","Routine"
"727","Divorced",NA,"No ",NA,"Not Too Happy",NA,NA,70,"High School","$25,000 or more","None","Exciting"
"728","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,64,"High School","$10,000 to $14,999","Catholic ","Exciting"
"729","Married","Yes","No ",18,"Very Happy","Very Happy",NA,67,"High School","$25,000 or more","Catholic ","Routine"
"730","Married","No ","No ",28,"Very Happy","Very Happy",NA,41,"High School","$25,000 or more","Protestant","Exciting"
"731","Widowed","No ",NA,26,"Pretyy Happy",NA,NA,80,"High School","$25,000 or more","Catholic ","Exciting"
"732","Widowed","No ",NA,20,"Pretyy Happy",NA,NA,84,"High School","$25,000 or more","None","Exciting"
"733","Married","No ","No ",27,"Pretyy Happy","Very Happy",NA,65,"Bachelors","$25,000 or more","Catholic ","Exciting"
"734","Widowed","Yes",NA,23,"Not Too Happy",NA,NA,87,"High School","$25,000 or more","Protestant","Dull"
"735","Divorced",NA,"No ",21,"Pretyy Happy",NA,NA,55,"High School","$20,000 to $24,999","Catholic ","Exciting"
"736","Married","Yes","No ",NA,"Pretyy Happy","Very Happy",NA,58,"Graduate","$25,000 or more","Other","Routine"
"737","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,66,"Bachelors","$25,000 or more","None","Routine"
"738","Divorced",NA,"No ",NA,"Not Too Happy",NA,NA,33,"Associate","$25,000 or more","None","Exciting"
"739","Married","No ","No ",27,"Very Happy","Very Happy",NA,55,"Associate","$25,000 or more","Catholic ","Exciting"
"740","Separated",NA,"No ",19,"Pretyy Happy",NA,NA,69,"Graduate","$25,000 or more","Jewish ","Routine"
"741","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,75,"Graduate","$25,000 or more","Protestant","Routine"
"742","Widowed","No ",NA,22,"Not Too Happy",NA,NA,82,"<High School","$25,000 or more","Catholic ","Exciting"
"743","Widowed","No ",NA,20,"Not Too Happy",NA,NA,72,"High School","$1,000 to $2,999","Protestant","Routine"
"744","Never Married",NA,NA,28,"Pretyy Happy",NA,"Very Happy",31,"High School","$25,000 or more","None","Routine"
"745","Married","No ","No ",24,"Pretyy Happy","Very Happy",NA,67,"Graduate","$25,000 or more","Catholic ","Routine"
"746","Married","No ","No ",23,"Very Happy","Very Happy",NA,79,"Associate","Refused","Protestant","Routine"
"747","Married","No ","No ",NA,"Very Happy","Very Happy",NA,70,"Bachelors","Refused","Orthodox-Christian","Exciting"
"748","Widowed","No ",NA,NA,"Very Happy",NA,NA,77,"High School","$25,000 or more","Catholic ","Routine"
"749","Divorced",NA,"No ",22,"Not Too Happy",NA,NA,52,"High School","$15,000 to $19,999","Catholic ","Routine"
"750","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,21,"<High School","$25,000 or more","Christian","Routine"
"751","Widowed","Yes",NA,19,"Not Too Happy",NA,NA,79,"High School","$25,000 or more","Protestant","Dull"
"752","Divorced",NA,"No ",23,"Not Too Happy",NA,NA,81,"Bachelors","$25,000 or more","Protestant","Routine"
"753","Never Married",NA,NA,24,"Pretyy Happy",NA,"Pretyy Happy",27,"<High School","$10,000 to $14,999","Catholic ","Routine"
"754","Married","Yes","No ",29,"Pretyy Happy","Very Happy",NA,52,"Graduate","$25,000 or more","Protestant","Exciting"
"755","Married","No ","No ",25,"Very Happy","Very Happy",NA,34,"Bachelors","$25,000 or more","None","Routine"
"756","Married","No ","No ",22,"Pretyy Happy","Pretyy Happy",NA,75,"High School","$7,000 to $7,999","Catholic ","Routine"
"757","Married","No ","No ",NA,"Pretyy Happy","Very Happy",NA,45,"Bachelors","$25,000 or more","Christian","Dull"
"758","Never Married",NA,NA,NA,"Pretyy Happy",NA,NA,49,"Associate","$25,000 or more","Protestant","Routine"
"759","Married","Yes","No ",30,"Very Happy","Very Happy",NA,40,"High School","$25,000 or more","Protestant","Exciting"
"760","Married","Yes","No ",NA,"Pretyy Happy","Pretyy Happy",NA,46,"High School","$25,000 or more","Protestant","Routine"
"761","Married","No ","No ",30,"Very Happy","Very Happy",NA,53,"Bachelors","Refused","Protestant","Exciting"
"762","Married","No ","No ",22,"Not Too Happy","Not Too Happy",NA,57,"High School","$10,000 to $14,999","Protestant","Routine"
"763","Never Married",NA,NA,18,"Pretyy Happy",NA,"Pretyy Happy",43,"<High School","$25,000 or more","None","Routine"
"764","Married","Yes","No ",27,"Pretyy Happy","Very Happy",NA,53,"Bachelors","$25,000 or more","Protestant","Routine"
"765","Never Married",NA,NA,NA,"Not Too Happy",NA,NA,57,"<High School","$25,000 or more","None","Routine"
"766","Divorced",NA,"No ",28,"Pretyy Happy",NA,NA,38,"Associate","$8,000 to $9,999","Protestant","Exciting"
"767","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,67,"High School","$25,000 or more","Protestant","Routine"
"768","Widowed","Yes",NA,17,"Pretyy Happy",NA,NA,71,"High School","$25,000 or more","Catholic ","Exciting"
"769","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,25,"Bachelors","$1,000 to $2,999","Catholic ","Routine"
"770","Divorced",NA,"No ",NA,"Very Happy",NA,NA,51,"Bachelors","$25,000 or more","Jewish ","Exciting"
"771","Divorced",NA,"No ",28,"Not Too Happy",NA,NA,68,"High School","$5,000 to $5,999","None","Routine"
"772","Divorced",NA,"No ",19,"Pretyy Happy",NA,NA,64,"High School","$25,000 or more","Protestant","Routine"
"773","Married","No ","No ",30,"Very Happy","Very Happy",NA,60,"High School","$20,000 to $24,999","Protestant","Routine"
"774","Married","Yes","Yes",23,"Pretyy Happy","Very Happy",NA,73,"High School","$20,000 to $24,999","Protestant","Routine"
"775","Married","Yes","No ",23,"Not Too Happy","Very Happy",NA,60,"High School","$20,000 to $24,999","Protestant","Exciting"
"776","Divorced",NA,"No ",NA,"Pretyy Happy",NA,NA,29,"Bachelors","$25,000 or more","Protestant","Exciting"
"777","Married","No ","Yes",25,"Pretyy Happy","Pretyy Happy",NA,51,"Bachelors","Refused","Catholic ","Exciting"
"778","Married","Yes","No ",31,"Very Happy","Very Happy",NA,54,"Bachelors","Refused","Protestant","Exciting"
"779","Married","No ","No ",17,"Pretyy Happy","Very Happy",NA,35,"High School","$25,000 or more","Protestant","Exciting"
"780","Married","No ","No ",34,"Very Happy","Pretyy Happy",NA,37,"Graduate","Refused","Hinduism","Exciting"
"781","Divorced",NA,"No ",24,"Pretyy Happy",NA,NA,50,"Graduate","$25,000 or more","Protestant","Routine"
"782","Divorced",NA,"No ",18,"Pretyy Happy",NA,"Very Happy",36,"High School","$25,000 or more","Protestant","Routine"
"783","Married","No ","No ",32,"Pretyy Happy","Pretyy Happy",NA,69,"Bachelors","Refused","Protestant","Routine"
"784","Divorced",NA,"No ",24,"Pretyy Happy",NA,"Very Happy",49,"High School","$25,000 or more","Protestant","Routine"
"785","Widowed","Yes",NA,17,"Pretyy Happy",NA,NA,67,"High School","$10,000 to $14,999","Protestant","Routine"
"786","Never Married",NA,NA,32,"Very Happy",NA,NA,62,"Bachelors","$25,000 or more","Protestant","Exciting"
"787","Married","Yes","No ",39,"Very Happy","Very Happy",NA,62,"Graduate","$25,000 or more","Protestant","Exciting"
"788","Divorced",NA,"No ",24,"Pretyy Happy",NA,NA,70,"Bachelors","$25,000 or more","Protestant","Routine"
"789","Widowed","No ",NA,17,"Not Too Happy",NA,NA,31,"High School","$6,000 to $6,999","Protestant","Dull"
"790","Never Married",NA,NA,22,"Not Too Happy",NA,NA,41,"High School","$1,000 to $2,999","Protestant","Routine"
